date,unemployment_rate,inflation_rate,gdp_growth,twitter_sentiment,google_trends_index,avg_temperature,stock_index_close,mobility_change,covid_cases
1/4/2015,5.52,1.02,2.63,0.231,50.8,28.7,2003.82,2.35,0
2/4/2015,5.69,0.9,2.25,0.148,50.9,28.2,1988.27,0.53,0
3/4/2015,5.36,0.98,2.33,-0.174,50.7,23.2,1992.12,-0.84,0
4/4/2015,5.43,0.78,2.62,0.021,50.9,25.1,2015.77,-5.78,0
5/4/2015,5.42,1.02,2.03,-0.028,51,28.4,1990.88,0.73,0
6/4/2015,5.21,1.15,2.39,0.045,51.1,27.4,2009.47,-0.93,0
7/4/2015,5.56,0.86,2.19,-0.123,51.2,24.3,1995.35,-0.18,0
8/4/2015,5.55,0.94,2.17,-0.142,51.2,26.6,2000.1,-3.55,0
9/4/2015,5.5,1.04,1.99,-0.136,51.1,30.9,2003.08,4.3,0
10/4/2015,5.45,1.13,2.73,-0.136,51,25.1,1979.13,2.57,0
11/4/2015,5.21,0.96,2.11,-0.007,51.2,23.6,1985.51,4.29,0
12/4/2015,5.41,0.93,2.44,-0.216,51.3,25.2,2001,3.44,0
13/4/2015,5.42,0.81,1.67,-0.17,51.2,25.3,1992.9,1.78,0
14/4/2015,5.33,1.01,2.59,-0.296,51,23.7,2010.11,-3.43,0
15/4/2015,5.46,1.21,2.55,-0.026,50.9,25.6,1984.08,5.53,0
16/4/2015,5.57,1.03,2.26,-0.009,50.9,22.2,2005.8,-2.78,0
17/4/2015,5.86,1,2.17,-0.178,50.9,23.3,1986.38,-0.81,0
18/4/2015,5.52,1.04,2.36,-0.184,50.9,26.1,1996.63,2.12,0
19/4/2015,5.53,1,2.93,-0.118,51,21,1989.5,2.27,0
20/4/2015,5.46,0.92,1.71,-0.024,51.1,26.3,2019.17,1.72,0
21/4/2015,5.09,1.09,2.48,-0.139,51.2,20.4,1986.76,-1.2,0
22/4/2015,5.47,1.03,1.97,-0.258,51,20.9,1998.93,-1.82,0
23/4/2015,5.48,1,2.24,-0.358,50.9,23.3,1982.89,7.6,0
24/4/2015,5.96,0.91,2.17,-0.315,51.2,24.8,2016.15,-0.12,0
25/4/2015,5.42,1.13,2.12,-0.204,51.2,26.8,2004.17,-0.49,0
26/4/2015,5.52,1.07,2.25,-0.284,51.3,24.2,2001.53,-2.14,0
27/4/2015,5.45,0.95,1.91,-0.206,51.3,23.5,2014.9,0.73,0
28/4/2015,5.22,1.1,2.56,-0.287,51.3,25.1,2001.63,0.59,0
29/4/2015,5.68,0.95,1.72,-0.344,51.1,22.1,2002.36,-0.05,0
30/4/2015,5.59,0.93,2.42,-0.362,51.1,24.1,2001.48,1.15,0
1/5/2015,5.6,0.93,2.16,-0.094,51.1,21.3,2005.8,5.29,0
2/5/2015,5.25,0.83,1.91,-0.167,51.2,23.8,1995.24,-1.79,0
3/5/2015,5.71,1.05,2.32,-0.088,51.2,23.3,1998.02,0.13,0
4/5/2015,5.15,0.82,1.79,-0.212,51,21.8,2008.27,-1.94,0
5/5/2015,5.54,0.88,2.27,-0.314,51.1,23.7,2002.94,0.88,0
6/5/2015,5.86,0.8,1.84,-0.143,51,23.6,1999.03,-1.71,0
7/5/2015,5.22,0.99,2.4,-0.282,50.9,25.5,1986.17,-1.58,0
8/5/2015,5.3,0.99,1.99,-0.261,50.8,19.9,2015.15,-4.38,0
9/5/2015,5.42,0.97,2.13,-0.29,50.8,22.8,1993.56,0.29,0
10/5/2015,5.3,0.9,2.36,-0.584,51,21.3,2010.05,1.29,0
11/5/2015,5.08,0.89,2.04,-0.131,51,24.5,2001.94,5.58,0
12/5/2015,5.4,1.05,2.25,-0.245,51.1,24.1,1987.24,1.41,0
13/5/2015,5.17,0.95,1.82,-0.263,51.1,23.5,2012.7,-1.35,0
14/5/2015,5.47,1.04,2.46,-0.303,51.1,21,2002.73,-4.08,0
15/5/2015,5.19,0.92,2.8,-0.282,51.2,24.1,2013.54,-3.66,0
16/5/2015,5.68,1.02,3.11,-0.359,51,19.1,1998.36,-3.89,0
17/5/2015,5.2,1.13,2.3,-0.238,51,18.6,2007.23,5.63,0
18/5/2015,5.29,1.06,2.51,-0.431,50.9,19.4,1982.56,0.86,0
19/5/2015,5.51,0.96,1.74,-0.281,51,21.7,1995.19,-1.75,0
20/5/2015,5.09,1.03,2.73,-0.243,51,23,1987.46,-2.88,0
21/5/2015,5.38,0.98,2.51,-0.318,51,15.6,1996.44,-2.57,0
22/5/2015,5.59,1,2.14,-0.26,50.8,24.1,2004.91,-1.83,0
23/5/2015,5,0.97,2.65,-0.395,50.9,21.5,1994.15,3.95,0
24/5/2015,5.35,0.99,2.21,-0.39,51,18,2008.83,-0.09,0
25/5/2015,5.36,1.03,2.15,-0.268,51,21.2,1991.63,-4.34,0
26/5/2015,5.46,0.9,2.43,-0.221,51,23.1,2009.05,6.93,0
27/5/2015,5.05,0.9,1.97,-0.473,50.9,21.9,2013.3,-3.42,0
28/5/2015,5.02,0.87,2.59,-0.23,50.9,22.8,2010.34,-1.77,0
29/5/2015,5.38,0.84,1.97,-0.333,50.8,17.7,1996.76,3.93,0
30/5/2015,5.33,0.88,1.97,-0.294,50.9,19.5,1978.95,1.25,0
31/5/2015,5.32,1.02,2.02,-0.404,50.7,18.3,2006.03,-1.41,0
1/6/2015,5.33,0.91,2.52,-0.351,50.6,23.4,1998.95,-3.69,0
2/6/2015,5.12,1.06,2.1,-0.164,50.8,21.1,1990.42,-2.9,0
3/6/2015,5.29,1.01,1.89,-0.252,50.8,25.4,1994.65,-2.72,0
4/6/2015,5.29,0.81,2.11,-0.288,50.9,18.6,2014.56,0.02,0
5/6/2015,5.09,1.07,2.28,-0.256,51.1,18,1988.84,0.57,0
6/6/2015,5.59,1.09,1.94,-0.189,50.8,19,2004.9,-0.45,0
7/6/2015,5.31,0.9,1.95,-0.187,50.7,21.9,2002.39,-0.12,0
8/6/2015,4.97,1.05,2.93,-0.232,50.7,18.2,1996.64,-3.15,0
9/6/2015,5.33,0.92,2.04,-0.108,50.8,19,2006.66,0.88,0
10/6/2015,4.99,1.01,2.2,-0.113,50.9,18.8,2016.54,3.84,0
11/6/2015,5.34,0.88,2.18,-0.162,50.8,18.5,1997.26,-0.49,0
12/6/2015,5.41,0.83,2.17,-0.19,50.9,17,1997.79,-0.55,0
13/6/2015,5,0.97,2.48,-0.122,50.8,17.9,2006.44,0.25,0
14/6/2015,5.35,0.99,2.58,-0.148,51,17.6,2009.41,3.35,0
15/6/2015,5.23,0.96,2.2,-0.065,50.9,17.8,1998.95,-2.68,0
16/6/2015,5.31,0.89,1.93,-0.072,50.9,19.5,1997.17,4.35,0
17/6/2015,5.51,0.96,2.68,-0.255,50.8,21,1978.05,1.26,0
18/6/2015,5.08,1.03,2.27,-0.253,50.9,15.6,1992.45,0.09,0
19/6/2015,4.97,1,2.82,-0.205,50.9,16.4,1988.84,3.64,0
20/6/2015,4.93,1.02,1.62,-0.028,50.9,15.3,2007.08,-3.55,0
21/6/2015,4.94,0.94,2.36,-0.274,50.9,17.2,1997.8,1.57,0
22/6/2015,5.08,1.12,2.87,-0.068,51,15.6,1997.41,1.29,0
23/6/2015,5.15,0.89,2.19,-0.061,51,16.9,2000.15,-2.81,0
24/6/2015,5.13,1.05,2.23,0.029,51.1,18.5,1991.54,1.38,0
25/6/2015,5.23,1.12,2.39,-0.06,51,11.1,2015.77,0.85,0
26/6/2015,5.06,1.05,2.13,-0.202,51,16.9,2013.22,-0.54,0
27/6/2015,5.34,0.98,2.21,-0.153,51,14.9,2016.42,2.59,0
28/6/2015,4.99,0.95,2.2,-0.165,51,16.5,2007.08,-1.72,0
29/6/2015,5.57,1.11,2.11,-0.091,51,13.6,1999.95,0.81,0
30/6/2015,5.15,0.86,2.67,-0.045,51,17.7,2016.39,-0.4,0
1/7/2015,4.84,0.91,2.44,-0.133,50.9,16.9,1993.44,-1.84,0
2/7/2015,4.79,0.97,2.38,0.141,50.9,16.1,1991.54,1.51,0
3/7/2015,5.09,1.13,2.54,-0.128,50.9,16.3,1994.24,-0.62,0
4/7/2015,4.94,1.04,2.22,0.149,51,13.1,2005.48,-4.42,0
5/7/2015,5.12,0.91,2.07,0.143,51,13.2,1992.63,-5.4,0
6/7/2015,5.07,0.97,2.12,0.125,50.9,15.7,1998.7,2.37,0
7/7/2015,4.95,0.94,2.3,-0.024,50.8,12.5,1984.24,-3.66,0
8/7/2015,4.78,0.93,1.98,0.09,50.8,16.8,2005.07,0.84,0
9/7/2015,4.64,1.1,2.15,-0.062,50.9,13.1,1985.09,0.16,0
10/7/2015,4.85,0.87,2.14,0.167,50.7,14.5,1990.94,-1.11,0
11/7/2015,5.1,1.17,2.94,0.078,50.7,17.6,2012.43,5.87,0
12/7/2015,4.96,1.09,1.47,0.054,50.7,11.8,2012.07,0.54,0
13/7/2015,4.66,1.11,2.24,-0.017,50.7,13.2,2004.01,2.27,0
14/7/2015,4.94,0.96,2.82,-0.133,50.7,15,2003.02,0.85,0
15/7/2015,4.97,0.99,2.33,0.02,50.6,14.6,1994.96,-0.69,0
16/7/2015,4.71,0.86,2.52,0.245,50.5,11.9,1992.54,-0.06,0
17/7/2015,4.91,0.95,2.33,0.102,50.5,11.3,1996.65,4.38,0
18/7/2015,4.88,1.05,2.1,0.135,50.4,11.7,1985.13,3.26,0
19/7/2015,4.63,1.14,1.62,0.226,50.5,14.9,2002.8,5.86,0
20/7/2015,4.92,0.89,2.36,0.35,50.4,11.3,2000.76,0.66,0
21/7/2015,4.96,0.97,2.06,0.31,50.3,11.9,1990.94,-2.63,0
22/7/2015,5.05,0.99,2.06,0.088,50.5,10.7,2015.96,-1.32,0
23/7/2015,5.04,0.87,2.15,-0.001,50.6,12.8,2006.35,-3.56,0
24/7/2015,4.54,1.06,2.82,0.437,50.4,11.5,2007.2,2.3,0
25/7/2015,4.62,0.93,3.02,0.436,50.3,9.1,1995.41,-1.76,0
26/7/2015,4.91,0.99,2.36,0.235,50.4,9,2000.27,-9.17,0
27/7/2015,4.9,0.96,2.15,0.096,50.4,6.8,2006.56,7.39,0
28/7/2015,4.89,0.93,1.94,0.326,50.2,8.9,2001.81,-1.71,0
29/7/2015,5.55,1.01,2.43,0.226,50.4,12,2016.31,-1.73,0
30/7/2015,4.89,0.98,2.83,0.231,50.4,12.9,1998.25,5.01,0
31/7/2015,4.99,0.97,2.22,0.338,50.5,11.5,1995.24,-3.62,0
1/8/2015,4.95,0.93,1.58,0.288,50.6,11.1,2006.63,3.41,0
2/8/2015,4.88,1.04,2.49,0.141,50.7,9.6,1987.65,-1.76,0
3/8/2015,4.68,1.17,2.58,0.232,50.7,11.2,2009.54,-3.97,0
4/8/2015,4.89,1.02,1.81,0.335,50.9,10.1,1987.29,5.12,0
5/8/2015,4.57,1.11,2.34,0.325,51,13,2006.68,2.77,0
6/8/2015,4.67,0.87,2.42,0.304,50.9,9.1,1993.81,2.76,0
7/8/2015,4.62,1.02,2.26,0.375,51,11.8,2005.06,1.1,0
8/8/2015,4.72,0.9,2.05,0.249,50.9,10.7,2009.37,1.8,0
9/8/2015,5.16,0.86,2.59,0.306,51,10.3,2001.84,-3.7,0
10/8/2015,4.32,0.93,2.16,-0.047,51,4.7,1988.31,0.33,0
11/8/2015,4.82,1.13,1.84,0.248,50.9,10.4,1991.34,-2.79,0
12/8/2015,4.36,1.1,1.67,0.372,50.8,8.2,1993.02,-4.17,0
13/8/2015,4.58,1.03,2.66,0.258,50.9,7.4,1981.36,1.23,0
14/8/2015,4.88,0.85,2.47,0.252,50.8,5.2,2011.58,3.47,0
15/8/2015,4.67,0.99,2.31,0.195,50.9,8.1,2001.41,-1.15,0
16/8/2015,4.44,1.04,2.15,0.4,50.9,8,1988.96,-0.64,0
17/8/2015,4.5,1.02,2.12,0.355,50.9,5.2,2014.87,-3.41,0
18/8/2015,4.78,0.82,1.95,0.382,51,4.8,1993.3,0.02,0
19/8/2015,4.49,0.92,2.15,0.127,51.1,8.6,2002.82,2.28,0
20/8/2015,4.67,1,1.64,0.283,51.1,9.2,1992.06,2.37,0
21/8/2015,4.63,1.06,2.05,0.269,51.2,7.7,1980.14,1.64,0
22/8/2015,4.49,0.79,2.18,0.268,51.1,9.6,1986.67,-1.86,0
23/8/2015,5.04,0.99,2.45,0.233,51.1,7,1995.84,-1.95,0
24/8/2015,4.73,1.02,2.26,0.257,51.2,6.9,2009.3,2.39,0
25/8/2015,4.2,1.09,2.51,0.374,51.3,5.1,2003.79,2.44,0
26/8/2015,4.63,1.08,2.67,0.095,51.3,3.7,2001.73,-0.52,0
27/8/2015,4.46,1.06,2.58,0.461,51.1,10.4,1980.23,-1.28,0
28/8/2015,4.76,0.93,2.41,0.328,51,8.9,2013.03,3.5,0
29/8/2015,4.42,0.82,2.27,0.272,51,3.8,2002.57,-1.08,0
30/8/2015,4.56,0.97,1.97,0.362,51,6.8,1999.14,2.24,0
31/8/2015,4.67,1.11,2.48,0.122,51,6.2,2011.66,-0.41,0
1/9/2015,4.74,1.15,2.76,0.196,51,5.7,2012.81,-3.14,0
2/9/2015,4.32,1.08,2.36,0.245,51,5.4,2011.88,4.84,0
3/9/2015,4.49,1.05,2.83,0.388,51,6.9,1997.86,0.36,0
4/9/2015,4.46,1.04,1.8,0.241,50.9,7.7,1990.3,-2.13,0
5/9/2015,4.42,0.95,1.91,0.285,50.9,6.8,2010.23,-4.17,0
6/9/2015,4.9,0.99,2.51,0.174,50.9,5.7,1986.69,-3.87,0
7/9/2015,4.63,1.17,2.33,0.275,50.8,5.5,2019.81,-1.12,0
8/9/2015,4.29,0.91,2.65,0.388,50.8,7.6,2000.62,5.78,0
9/9/2015,4.72,1.17,2.24,0.312,50.8,6.6,1989.73,-1.75,0
10/9/2015,4.96,0.97,1.99,0.197,50.9,5.8,1988.03,4.34,0
11/9/2015,4.74,1.14,2.18,0.265,50.8,5.5,1987.57,-0.39,0
12/9/2015,4.23,0.87,1.79,0.247,50.9,6.2,2001.75,-3.54,0
13/9/2015,4.43,1.07,1.91,0.232,51.1,4.5,2000.29,-1.42,0
14/9/2015,4.78,0.93,2.53,0.285,51.2,7.1,1987.99,-3.84,0
15/9/2015,4.38,0.87,2.5,0.275,51.2,3.2,1996.79,-2.57,0
16/9/2015,4.61,1.03,2.35,0.143,51.3,4.5,1986.67,-2.66,0
17/9/2015,4.67,1.11,1.72,0.211,51.4,6.5,2006.25,-5.71,0
18/9/2015,4.33,0.92,2.13,0.1,51.4,3,1999.81,4.54,0
19/9/2015,4.5,0.86,1.87,0.037,51.5,2.1,1996.57,0.63,0
20/9/2015,3.86,1,2.59,0.092,51.5,5.3,1987.48,-2.06,0
21/9/2015,4.3,1,2.06,0.102,51.5,1.7,1997.36,0.67,0
22/9/2015,4.46,1.06,1.9,-0.066,51.6,2.5,1996.21,-2.51,0
23/9/2015,4.26,1.1,2.24,0.176,51.6,6.6,2003.54,-8.01,0
24/9/2015,4.83,1,2.03,-0.196,51.6,4.7,2002.03,8.87,0
25/9/2015,4.22,1.19,2.67,0.342,51.5,7.6,2008.29,0.57,0
26/9/2015,4.41,1.03,2,0.211,51.5,2.6,1995.52,-1.77,0
27/9/2015,4.53,0.97,1.8,0.024,51.6,4.8,1981.76,-5.8,0
28/9/2015,4.79,0.85,1.57,0.041,51.7,5.8,2010.28,-4.48,0
29/9/2015,4.21,0.98,2.21,0.06,51.8,2.7,1991.01,4.96,0
30/9/2015,4.73,0.97,2.05,-0.039,51.8,7.1,1989.3,4.51,0
1/10/2015,4.5,1.1,1.79,0.029,52,6,1999.94,2.26,0
2/10/2015,4.3,1.05,2.57,-0.015,51.9,1.8,2003.4,-3.35,0
3/10/2015,4.59,0.89,2.41,-0.021,51.8,4.9,1995.07,4.53,0
4/10/2015,4.54,1.02,2.2,-0.004,52,5.8,1994.99,1.35,0
5/10/2015,4.38,1.07,2.62,-0.163,51.9,3.8,1996.47,1.96,0
6/10/2015,4.52,1.16,2.4,-0.038,51.8,2.1,2014.55,1.34,0
7/10/2015,4.42,1.1,1.96,-0.036,51.7,5.6,2000.36,-4.52,0
8/10/2015,4.53,1.08,1.89,-0.05,51.7,9.5,1990.7,-3.59,0
9/10/2015,4.64,1.01,2.44,-0.094,51.6,4.3,1990.81,-1.53,0
10/10/2015,4.82,1.05,2.32,0.031,51.5,8.3,1997.88,1.93,0
11/10/2015,4.26,1.13,2.25,-0.128,51.5,3.7,2002.77,-4.14,0
12/10/2015,4.93,0.87,1.94,-0.079,51.6,5.6,2005.23,-0.53,0
13/10/2015,4.12,0.97,2.37,0.018,51.5,6.8,2001.63,-0.53,0
14/10/2015,4.48,0.93,1.96,-0.129,51.5,5.2,1991.97,2.38,0
15/10/2015,4.63,1.05,2.16,-0.109,51.4,4.7,1996.15,2.02,0
16/10/2015,4.57,1.13,2.62,-0.15,51.4,6.8,2007.73,-3.03,0
17/10/2015,4.39,0.95,1.98,-0.025,51.4,9.2,1988.93,4.34,0
18/10/2015,4.48,0.77,1.71,-0.184,51.4,6,1995.74,-3.49,0
19/10/2015,4.42,0.97,1.86,-0.038,51.3,4.5,2006.37,3.28,0
20/10/2015,4.41,1.1,2.47,-0.185,51.2,5.2,2009.15,-1.65,0
21/10/2015,4.7,1.06,2.25,-0.269,51.3,10.6,1998.47,0.49,0
22/10/2015,4.6,1.05,2.13,-0.123,51.4,5.9,1996.29,0.68,0
23/10/2015,4.39,0.98,2.02,-0.23,51.4,4.5,1987.18,0.59,0
24/10/2015,4.72,0.88,2.31,-0.145,51.6,3.5,2005.66,2.02,0
25/10/2015,4.6,1.06,1.91,-0.487,51.5,2.2,2013.59,1.17,0
26/10/2015,4.7,0.92,2.26,-0.221,51.4,6.7,2026.06,2.35,0
27/10/2015,4.67,1.23,1.94,-0.274,51.3,7.3,2004.27,1.39,0
28/10/2015,4.38,1.07,1.89,-0.341,51.6,5.3,1999.9,-3.79,0
29/10/2015,4.44,0.95,1.97,-0.296,51.6,6.1,1991.21,0.81,0
30/10/2015,4.71,0.95,2.04,-0.304,51.7,3.9,1981.63,-1.69,0
31/10/2015,4.68,1,2.14,-0.257,51.5,6.6,2002.18,-3.33,0
1/11/2015,4.56,0.98,2.22,-0.395,51.6,7.4,2023.92,-0.87,0
2/11/2015,4.59,1.12,1.04,-0.232,51.8,5.4,2013.13,0.55,0
3/11/2015,4.83,1.03,1.9,-0.131,51.8,10,2011.58,0.75,0
4/11/2015,4.46,0.94,2.03,-0.244,51.7,5,2002.88,3.17,0
5/11/2015,4.69,1.2,2.59,-0.196,51.7,7.4,2004.02,3.92,0
6/11/2015,4.55,1.01,1.82,-0.171,51.5,8.6,1976.19,1.01,0
7/11/2015,4.55,1.09,2.19,-0.16,51.5,6.8,2008.05,1.55,0
8/11/2015,4.82,0.95,2.58,-0.1,51.6,6.7,1994.63,0.29,0
9/11/2015,4.77,1.04,1.74,-0.34,51.6,4.3,1993.41,2.3,0
10/11/2015,4.77,1.04,2.25,-0.364,51.5,10,1997.2,1.46,0
11/11/2015,4.88,0.82,1.89,-0.216,51.6,7.1,1996.86,-0.16,0
12/11/2015,4.62,1.21,1.97,-0.226,51.6,8.6,1993.26,6.46,0
13/11/2015,4.76,1.14,1.88,-0.22,51.5,9,2000.57,-1.64,0
14/11/2015,4.57,0.97,1.9,-0.11,51.5,6.5,1994.85,4.36,0
15/11/2015,4.7,0.9,2.94,-0.298,51.7,7.5,2001.44,-4.06,0
16/11/2015,4.62,1.04,2.37,-0.257,51.6,10.7,1985.57,2.44,0
17/11/2015,4.67,1.02,2.44,-0.398,51.6,5.9,1998.3,4.31,0
18/11/2015,4.77,1.04,2.26,-0.086,51.8,12.5,1989.48,-5.72,0
19/11/2015,4.5,1.03,1.63,-0.333,51.9,6.9,1994.03,0.42,0
20/11/2015,5.09,1.06,2.23,-0.329,51.8,6.2,2001.88,2.15,0
21/11/2015,4.47,1.15,2.43,-0.331,51.9,8.9,1984.4,0.76,0
22/11/2015,4.44,1.07,1.85,-0.359,51.9,13.2,1992.22,1.13,0
23/11/2015,4.92,0.9,2.39,-0.366,51.8,5.1,2006.14,0.41,0
